region,division,state,statecode,countycode,fipscode,county,year,county_ranked,mental_health_days,mental_distress_rate,inequality,median_inc,hs_grad,college,unempl,child_poverty,single_parent,severe_housing,food_index,mh_providers,pop_provider_ratio,pop,pct_below18,pct_black,pct_native_am,pct_asian,pct_pacific,pct_hispanic,pct_white,pct_female,pct_rural
West,Mountain,MT,30,37,30037,Golden Valley County,2016,0,3.5,0.108,3.87434555,37316,,0.486725664,0.047263682,0.355,0.389312977,0.107692308,4.2,0,-852,852,0.201877934,0.002347418,0.011737089,0.007042254,0,0.041079812,0.911971831,0.487089202,1
West,Mountain,MT,30,39,30039,Granite County,2016,1,3.2,0.095,3.571969697,47902,,0.612371134,0.070084361,0.24,0.359855335,0.168350168,5.6,0.000311624,3209,3209,0.161732627,0.00436273,0.006855718,0.002804612,0.000311624,0.021190402,0.946089124,0.495169835,1
West,Mountain,MT,30,41,30041,Hill County,2016,1,3.6,0.11,4.581694613,43509,0.716589862,0.698235599,0.058339661,0.208,0.349954669,0.156606852,6.2,0.00253073,395.1428571,16596,0.270065076,0.004880694,0.22692215,0.00626657,0.000843577,0.032718727,0.709026271,0.496203905,0.400037276
West,Mountain,MT,30,43,30043,Jefferson County,2016,1,3,0.088,3.573566168,61575,,0.728504673,0.045997191,0.144,0.233745513,0.074725275,7.7,0.000605641,1651.142857,11558,0.210243987,0.004152968,0.017390552,0.004931649,0.00017304,0.022841322,0.928793909,0.490309742,1
West,Mountain,MT,30,45,30045,Judith Basin County,2016,1,3.1,0.093,3.828720844,43272,,0.708823529,0.043076923,0.181,0.138190955,0.079310345,6.4,,,1991,0.187845304,0.00050226,0.010045203,0.002511301,0,0.016574586,0.962832747,0.479156203,1
West,Mountain,MT,30,47,30047,Lake County,2016,1,3.8,0.124,5.03541041,38221,0.842277992,0.584574201,0.058227848,0.297,0.392277002,0.194594595,6.8,0.00158081,632.5869565,29099,0.242448194,0.003952026,0.235643837,0.005292278,0.001237156,0.040654318,0.662187704,0.508367985,0.834307382
West,Mountain,MT,30,49,30049,Lewis and Clark Coun,2016,1,3.1,0.092,3.78506256,53572,0.863406593,0.747037375,0.037441893,0.152,0.283920846,0.116165414,7.9,0.003796161,263.424,65856,0.217580782,0.004646502,0.022002551,0.007167153,0.001017371,0.029792274,0.916499636,0.508214893,0.289297263
West,Mountain,MT,30,51,30051,Liberty County,2016,1,3.3,0.098,5.221312448,37911,,0.677704194,0.031376518,0.213,0.148837209,0.266272189,5.8,,,2359,0.21153031,0.002967359,0.002967359,0.001271725,0.000423908,0.006782535,0.974565494,0.523526918,1
West,Mountain,MT,30,55,30055,McCone County,2016,0,3.1,0.093,3.947036622,43132,,0.598265896,0.02425876,0.211,0.069767442,0.083660131,5.8,,,1694,0.198937426,0.004132231,0.008264463,0.001770956,0.000590319,0.013577332,0.959268005,0.489964581,1
West,Mountain,MT,30,57,30057,Madison County,2016,1,3,0.092,3.809468822,41539,,0.663421419,0.046320245,0.173,0.12537092,0.103355705,7.5,0.000383632,2606.666667,7820,0.157289003,0.004731458,0.006393862,0.003836317,0.000127877,0.028772379,0.943222506,0.47544757,1
West,Mountain,MT,30,67,30067,Park County,2016,1,3.1,0.093,3.961116216,42942,0.866666667,0.666483063,0.056199162,0.185,0.226110363,0.146788991,6.9,0.002267003,441.1111111,15880,0.190806045,0.002959698,0.011649874,0.004345088,0.000692695,0.027959698,0.936964736,0.497984887,0.477359939
West,Mountain,MT,30,69,30069,Petroleum County,2016,0,3.3,0.102,3.704746667,35092,,0.708737864,0.040268456,0.274,0.277777778,0.28,3.4,0,-485,485,0.218556701,0,0.006185567,0,0,0.012371134,0.971134021,0.453608247,1
West,Mountain,MT,30,71,30071,Phillips County,2016,1,3.5,0.108,4.77944129,41595,,0.538064516,0.053624628,0.202,0.116452992,0.069637883,7.2,0.000477099,2096,4192,0.225667939,0.000715649,0.083969466,0.002862595,0.00023855,0.021230916,0.855200382,0.503339695,1
West,Mountain,MT,30,73,30073,Pondera County,2016,1,3.6,0.109,4.117822849,39292,,0.629449838,0.049425687,0.274,0.295543906,0.145336226,5.5,0.001125583,888.4285714,6219,0.244894678,0.003055154,0.145200193,0.002733558,0.000321595,0.018491719,0.813957228,0.513426596,0.58101739
West,Mountain,MT,30,75,30075,Powder River County,2016,1,3.2,0.098,4.768185692,44644,,0.788732394,0.03204524,0.159,0.436746988,0.113669065,6.5,,,1783,0.173864274,0.000560853,0.019068985,0.001682558,0,0.019629837,0.942232193,0.494111049,1
West,Mountain,MT,30,53,30053,Lincoln County,2016,1,3.5,0.106,4.198484216,36734,0.849431818,0.579971791,0.112796916,0.301,0.210350584,0.18729097,6.5,0.001673203,597.65625,19125,0.184104575,0.002718954,0.011503268,0.003921569,0.000679739,0.027503268,0.933385621,0.495006536,0.797937725
West,Mountain,NM,35,7,35007,Colfax County,2016,1,3.6,0.115,5.313595719,37156,0.791719745,0.544052863,0.061464968,0.306,0.410804508,0.15048119,5.6,0.008596215,116.3302752,12680,0.189984227,0.004652997,0.026419558,0.004574133,0.002365931,0.490063092,0.474921136,0.491324921,0.523563636
West,Mountain,NM,35,9,35009,Curry County,2016,1,3.6,0.114,5.147468508,42620,0.764150943,0.622679235,0.049456168,0.273,0.34326042,0.126306866,5.8,0.005454296,183.3417266,50969,0.26996802,0.057054288,0.020502659,0.017167298,0.002472091,0.397339559,0.502972395,0.481076733,0.140689598
West,Mountain,NM,35,11,35011,DeBaca County,2016,1,3.8,0.12,5.895913378,33789,,0.514824798,0.050128535,0.321,0.161016949,0.086666667,2.8,0.008219178,121.6666667,1825,0.218082192,0.00109589,0.018630137,0.001643836,0,0.408219178,0.555616438,0.497534247,1
West,Mountain,NM,35,0,35000,New Mexico,2016,,4,0.126,5.174640218,44905,0.712220356,0.591731866,0.065410891,0.28,0.402706542,0.177575293,6.3,0.003329542,300.3415899,2085572,0.240676898,0.018507153,0.104173819,0.016709085,0.001664771,0.476680259,0.389053938,0.504748817,0.225729769
West,Mountain,NM,35,17,35017,Grant County,2016,1,3.5,0.112,4.865507831,38221,0.855155763,0.606439127,0.066276803,0.278,0.448275862,0.121495327,6.3,0.004708551,212.379562,29096,0.208379159,0.008007974,0.023267803,0.007629915,0.001306021,0.495806984,0.4698584,0.505189717,0.423527817
